command,scope,metric,bytes,dimensions_json
002-sizes-1000000-1000000-512-1,clearing withdrawal claim:,opening,75,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""W"":""1"",""action"":""amount"",""fixture"":""native_keyless_mmr"",""history_outputs"":""0"",""operations"":""3"",""position"":""1""}"
002-sizes-1000000-1000000-512-1,clearing withdrawal claim:,claim,105,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""W"":""1"",""action"":""amount"",""fixture"":""native_keyless_mmr"",""history_outputs"":""0"",""operations"":""3"",""position"":""1""}"
002-sizes-1000000-1000000-512-1,clearing withdrawal claim:,root,48,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""W"":""1"",""action"":""amount"",""fixture"":""native_keyless_mmr"",""history_outputs"":""0"",""operations"":""3"",""position"":""1""}"
002-sizes-1000000-1000000-512-1,clearing withdrawal claim:,request,191,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""W"":""1"",""action"":""close"",""fixture"":""native_keyless_mmr"",""history_outputs"":""0"",""operations"":""3"",""position"":""1""}"
002-sizes-1000000-1000000-512-1,clearing withdrawal claim:,output,30,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""W"":""1"",""action"":""close"",""fixture"":""native_keyless_mmr"",""history_outputs"":""0"",""operations"":""3"",""position"":""1""}"
002-sizes-1000000-1000000-512-1,clearing withdrawal claim:,opening,75,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""W"":""1"",""action"":""close"",""fixture"":""native_keyless_mmr"",""history_outputs"":""0"",""operations"":""3"",""position"":""1""}"
002-sizes-1000000-1000000-512-1,clearing withdrawal claim:,claim,105,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""W"":""1"",""action"":""close"",""fixture"":""native_keyless_mmr"",""history_outputs"":""0"",""operations"":""3"",""position"":""1""}"
002-sizes-1000000-1000000-512-1,clearing withdrawal claim:,root,48,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""W"":""1"",""action"":""close"",""fixture"":""native_keyless_mmr"",""history_outputs"":""0"",""operations"":""3"",""position"":""1""}"
002-sizes-1000000-1000000-512-1,clearing withdrawal claim:,request,199,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""W"":""1000000"",""action"":""amount"",""fixture"":""native_keyless_mmr"",""history_outputs"":""0"",""operations"":""1000002"",""position"":""500001""}"
002-sizes-1000000-1000000-512-1,clearing withdrawal claim:,output,30,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""W"":""1000000"",""action"":""amount"",""fixture"":""native_keyless_mmr"",""history_outputs"":""0"",""operations"":""1000002"",""position"":""500001""}"
